year	county	totalpop	totalto	turnout	totalvr	votecenter	cumulative	election	constitutional	midterm	presidential	median_inc	bachelor_higher	Election	County	medianinc_rec	totalpop_rec
2011	"Grimes"	27062	838	0.0592687	14139	0	0	"Constitutional"	1	0	0	40509	0.11	1	93	4.0509	0.027062
2015	"Dickens"	2232	219	0.1678161	1305	0	0	"Constitutional"	1	0	0	39700	0.155	1	63	3.97	0.002232
2011	"Kent"	809	103	0.1669368	617	0	0	"Constitutional"	1	0	0	43750	0.19	1	132	4.375	8.09E-4
2014	"San Saba"	6163	1447	0.3896069	3714	0	0	"Midterm/Gubernatorial"	0	1	0	38065	0.135	2	206	3.8065	0.006163
2016	"Garza"	6389	1484	0.5453877	2721	0	0	"Presidential"	0	0	1	52708	0.088	3	85	5.2708	0.006389
2013	"Willacy"	22023	693	0.0609713	11366	0	0	"Constitutional"	1	0	0	25886	0.088	1	245	2.5886	0.022023
2015	"Delta"	5326	36771	0.0875425	420036	0	0	"Constitutional"	1	0	0	42432	0.188	1	61	4.2432	0.005326
2018	"Howard"	34874	7404	0.4363508	16968	0	0	"Midterm/Gubernatorial"	0	1	0	52562	0.13	2	114	5.2562	0.034874
2016	"Baylor"	3761	1513	0.621866	2433	0	0	"Presidential"	0	0	1	34382	0.266	3	12	3.4382	0.003761
2011	"Wichita"	131595	2740	0.036163	75768	0	0	"Constitutional"	1	0	0	44786	0.198	1	243	4.4786	0.131595
2009	"Dawson"	13741	624	0.0793086	7868	0	0	"Constitutional"	1	0	0	33586	0.087	1	58	3.3586	0.013741
2012	"Henderson"	79475	27960	0.5815912	48075	0	0	"Presidential"	0	0	1	41100	0.142	3	107	4.11	0.079475
2011	"Rains"	11065	341	0.0524132	6506	0	0	"Constitutional"	1	0	0	45168	0.133	1	190	4.5168	0.011065
2016	"Terry"	12766	3355	0.4800401	6989	0	0	"Presidential"	0	0	1	40407	0.121	3	223	4.0407	0.012766
2010	"Ector"	137130	19634	0.2950174	66552	0	0	"Midterm/Gubernatorial"	0	1	0	45815	0.131	2	68	4.5815	0.13713
2013	"Ward"	11319	348	0.0573973	6063	0	0	"Constitutional"	1	0	0	42568	0.125	1	238	4.2568	0.011319
2016	"Tarrant"	2000000	669085	0.6082591	1100000	0	0	"Presidential"	0	0	1	60373	0.307	3	220	6.0373	2.0
2015	"Terrell"	889	107	0.154848	691	0	0	"Constitutional"	1	0	0	31111	0.173	1	222	3.1111	8.89E-4
2013	"Goliad"	7444	316	0.0598258	5282	0	0	"Constitutional"	1	0	0	50923	0.142	1	88	5.0923	0.007444
2018	"Garza"	6109	1287	0.47455752	2712	0	0	"Midterm/Gubernatorial"	0	1	0	54697	0.12	2	85	5.4697	0.006109
2012	"Panola"	24140	10237	0.6667752	15353	0	0	"Presidential"	0	0	1	50508	0.108	3	183	5.0508	0.02414
2017	"Jackson"	14847	401	0.0444617	9019	0	0	"Constitutional"	1	0	0	60212	0.183	1	120	6.0212	0.014847
2017	"Stephens"	10424	203	0.037098	5472	0	0	"Constitutional"	1	0	0	46592	0.168	1	215	4.6592	0.010424
2014	"Aransas"	24961	6114	0.387	15800	0	0	"Midterm/Gubernatorial"	0	1	0	42247	0.195	2	4	4.2247	0.024961
2012	"Sterling"	1168	475	0.5716005	831	0	0	"Presidential"	0	0	1	44239	0.208	3	216	4.4239	0.001168
2011	"Hutchinson"	22190	731	0.0535139	13660	0	0	"Constitutional"	1	0	0	44120	0.122	1	117	4.412	0.02219
2012	"King"	298	145	0.801105	181	0	0	"Presidential"	0	0	1	63750	0.235	3	135	6.375	2.98E-4
2012	"Concho"	4116	1028	0.6159377	1669	0	0	"Presidential"	0	0	1	50278	0.114	3	48	5.0278	0.004116
2012	"Johnson"	155690	48840	0.6161299	79269	0	0	"Presidential"	0	0	1	57016	0.158	3	126	5.7016	0.15569
2009	"Potter"	120118	3782	0.0723191	52296	0	0	"Constitutional"	1	0	0	34827	0.146	1	188	3.4827	0.120118
2015	"Upshur"	40123	2942	0.1099074	26768	0	0	"Constitutional"	1	0	0	46673	0.145	1	230	4.6673	0.040123
2012	"Karnes"	15683	4181	0.5430576	7699	0	0	"Presidential"	0	0	1	39706	0.105	3	128	3.9706	0.015683
2010	"Mitchell"	9403	1585	0.3457679	4584	0	0	"Midterm/Gubernatorial"	0	1	0	37260	0.094	2	168	3.726	0.009403
2011	"Maverick"	55363	132	0.0049239	26808	0	0	"Constitutional"	1	0	0	29504	0.125	1	159	2.9504	0.055363
2013	"Tarrant"	1900000	74127	0.0774677	956876	0	0	"Constitutional"	1	0	0	56853	0.295	1	220	5.6853	1.9
2012	"Loving"	82	64	0.5423729	118	0	0	"Presidential"	0	0	1	39375	0.037	3	151	3.9375	8.2E-5
2009	"Presidio"	7593	194	0.039463	4916	0	0	"Constitutional"	1	0	0	29492	0.153	1	189	2.9492	0.007593
